snlgroup_id,canonical_snl_id,first_mismatching_snl_id
19,20,70912
396,413,130616
899,996,45508
917,1014,349128
974,1072,177856
1351,1511,37464
1385,1548,127364
1452,1619,45919
1673,1888,127231
1675,1891,45471
1732,1959,73618
1759,1990,4996
1861,2111,30730
2560,2951,76782
2622,3027,177079
2657,3089,319520
2658,3090,197540
2845,3316,165388
3055,3574,3575
3315,3883,269560
3502,4143,137700
3676,4359,24819
3886,4600,150588
4332,5189,5297
4517,5435,5436
4768,5754,161459
20734,26479,28091
20994,26830,124484
21368,27361,150678
21421,27432,124504
21578,27621,171871
21678,27770,27771
21751,27875,149531
22625,29083,46246
23187,29912,169468
23447,30266,177456
24466,31699,36332
24575,31887,165886
24576,31888,176080
24631,31990,158351
24757,32165,274800
24843,32265,56800
24933,32377,46169
40023,55668,333933
40063,55720,162226
40023,55668,333933
40063,55720,162226
40333,56168,175171
40366,56222,188051
60085,90986,91027
60846,91756,91788
60855,91774,91831
84557,122108,348878
84750,129536,349014
84799,131940,351843
84894,147998,204724
84929,137518,378503
84948,138112,348999
100199,216214,338190
100391,216721,336902
100502,217023,242612
100594,217414,346426
101858,220777,338319
104933,228594,228596
120177,267048,267059
120186,267058,278381
120526,267700,267702
120782,268285,268286
121701,270343,270346
121938,270906,270908
122078,271259,271260
122234,271748,271749
123050,273853,296342
123588,275139,275144
123758,275465,275466
124922,277302,277309
124923,277303,277310
124925,277305,277312
163139,363080,386898
164371,364432,383003
164422,364487,382006
