snlgroup_id,snlgroup_key,mismatching snl_ids
19,Mn3 O4--141,70912 327908
396,Eu2 Fe2 O7 Sr1--136,130616
899,O4 Sn1 Sr2--64,45508 261345
974,Bi1 In1--129,177856
1351,Mo1 N1--186,47636 270115
1385,Al1 K1 O2--92,127364
1452,Li1 O6 Sc1 Si2--14,45922 262907
1673,Br3 Ru1--59,38392 305343
1675,Ba2 O6 Pr1 Ru1--14,45471 261281
1732,Nd2 O7 Ti2--4,132759
1759,Ga1 La1 O3--62,18365 232400
1861,Al1 La1 O3--167,2120 2121 30730 30878 60348 60349 60350 60351 61899 242848 242849 242850 242851 244751 244752 244753 264601 264602
2560,Ce1 O4 Ta1--14,76782 81982
2622,Co1 Fe3--123,177079
2657,Ca1 H2--62,319520
2658,H2 Sr1--62,197540
2659,Ba1 H2--62,318171
2790,O2--12,125290 267183
2845,C6 Cu1 H8 N6 O2--12,165388
3055,O2 Zr1--137,3575 3576 3577 3578 15785 15786 15787 15788 15789 15790 15791 15792 15793 20692 26521 26753 28448 28449 28450 28451 31004 31005 31006 31007 31973 33912 34143 34144 35967 41941 63698 134592 140305 185820 191074 207735 221057 221058 221059 221060 221061 221062 221063 221064 221065 222777 222962 237889 240433 244297 244298 244299 244300 245315 245316 245317 245318 247088 249115 268309 268310 268311 268312 275483 284441 286046 331064 341637 342229
3241,As1--166,5457
3502,Bi1 I1 O1--129,137700 147704
3676,Cr1 La1 O3--62,42411 215384
3886,Ba2 Co4 Ho2 O11--51,150588
4096,Sb1--166,41554 72092 330103 330104
4332,O2 Si1--122,5297
4517,Ca3 N2--164,5436 127924 273436
4768,Cu1 S1--194,161459
5384,Ce1 Ni3--194,263639 263640 320365
5392,Ce1 Ru1 Sn1--12,332737 332756
5506,C1 K4 O4--82,169225
5568,Al1 Ce1 O3--74,128307
5569,Al1 Ce1 O3--167,48862
5658,Bi1 F3--215,160431
5660,Co1 Te2--58,21255
6189,As1 Ce1 Se1--62,332453
6505,Al1 Pt3--127,258007 315478 332468
6891,I2 Mg1 O6--4,159937
6933,Ca1 O3 Si1--62,50041 50042 50043 170546 291094 291095 291096
7243,Br3 Tc1--59,175832
7538,Ge1 I2--164,145527 166094
7585,Cl2 O2 W1--26,139701
7611,Cl7 Mn2 Rb3--139,177067
7704,Cu1 F3 K1--140,124557
7883,F3 K1 Mn1--62,197106
7959,Hg1 O1--11,155868 340386 347094
8138,C1 Cd1 O3--166,172170
8162,O2 V1--12,27652 123995 148571 349440
8277,Cl1 F1 Sm1--129,332640
8537,Cr1 O4 W1--12,184979 332704
8538,Ca5 F1 O12 P3--176,82784 84079 85118 85420
8654,Fe1 Mo2 S4--9,167866
9180,Fe1 S1--62,11248 11249 26218 69823 69824 143177 143972 151575 154317 160047 173817 198578 198579 239935 325361 325362
9205,Ca1 O5 Si1 Ti1--14,27741 52481 60160 60162 60163 60164 60166 60174 60198 60199 60200 60201 201442 242073 242074 242076 242077 242078 242080 242088 242112 242113 242114 242115
9306,Br3 Mo1--59,133050
9335,Bi1 Li1 O2--72,70401 192225
10040,Nb1 O6 Sr2 Tm1--34,156570
10434,Cd1 F5 Mn1--14,157119 176013 333080
10760,Co1 Si1 U1--62,124874
10869,I1 K3 O5--130,160109
10887,Cu1 La2 O4--64,17344 17402 54772 227053 227288 228949
11038,Gd1 O3 V1--62,149830 160319 168400 175499
11418,Se1 Sn1--62,14168 207249 207250
12129,Ba1 Bi1 O3--225,53345 148719
12219,Br5 F6 Sb1--15,167554
12802,Fe1 S1--186,26220 59172 239938 239939 333193 404269
13560,F3 Mn1--15,57655 151782 188885
14187,Nb1 O2--88,37687 45346
14287,F3 K1 Mn1--140,17874 17875 129265 149146 228476 228477 293677 293678 293679 332849
14686,S2 Ti1--166,202398
15089,Ba1 I6 U1--9,154073 177230
15113,O3 W1--14,136502 333500
15115,Ce1--12,176853
15789,Li2 Si1 Zn1--164,149960
15798,La2 Ni2 O5--14,147420
15802,Ni1 O6 Sr2 Te1--71,165954 169881 332866
15937,La1 Mn1 O3--62,285291
16008,Ge1 Ni2 P1--61,127539
16155,La8 Ni4 O16.4--138,20356 236853
16200,Co1 La2 O4--64,150576 166002 332886
16586,Cl2 Pb1--14,144618 154849 171000 172238
16587,Cl2 Sn1--14,139036
16989,O13 V6--12,349689
17264,F3 K1 O1 Te1--4,170719 174023
17345,O3 Re1--204,137413
17776,Be1 F4 Sm1--33,159361
17971,La2 Ni1 O4--50,162858
18665,P3 Tc2--2,129206
19084,Ag2 Se1--17,177595
19099,Ag1 Te2 Tl1--119,126004
19754,Na1 Nb1 O3--63,63137 189917
20207,La1 O1 S1--57,161887
21226,Bi1--11,174772
21368,O5 Ta2--5,150678
21421,Br2 Cu1--12,124504
21578,Nb2 O5--5,171871
21678,Ba1 Mn1 O3--185,123195 130395 335633
21751,Cl2 Mg1--115,149531
21817,Al1 O3 Pr1--167,60373 60374 242875 242876
23187,O7 Sr1 V3--62,169468 173151 335685
23447,Ge1 Li2 Zn1--164,177456
24293,Si1 Ti1--25,189228 330365
24466,Ge1 O2--60,36332 122187 154580 299882
24575,Cu1 Se1--194,165886
24576,Cu1 Se1--194,176080
24631,O2 Si1--60,158351 271970
24757,Ba1 Fe2 O5 Y1--51,274800 299486 299487 299488
24843,Br1 Cu1 Hg1 S1--55,56800 152464 252546
25310,Mo1 S1 Sb2--12,164917
25485,F1 O12 P3 Sr5--176,82850 82934 83307 84941
25517,Cl4 Cs2 Pd1--63,165625
25613,As1 S1 Sm1--62,163807
26198,K1 N3--140,161881
26266,O3 W1--11,337243 351829 352046
26352,O2 V1--14,134585
26679,Ni7 Zr2--12,71518 129835 329021
26809,Fe2 Y1--227,353400
26950,Gd1 Ni1 Sn1--62,155890 159236 177277
28126,Ag2 O4 Se1--70,130708
28392,Br6 Li2 U0.88--12,207089
28889,Ba2 Dy2 Fe4 O10.026--51,251656
28890,Ba1 Dy1 Fe2 O5--51,124776 251657
28962,Al1 O4 W1--12,184243
29026,Ag1 C1 O2--14,156782
29881,C4 Rh1 Sc3--12,175450
30976,Pt1 S1--131,160255
31087,Bi2 O3--117,337442
31168,Ce4 In8 Ni7--65,154653
31251,Cs1 Fe2 Sb2--139,129777
31466,Ag3 O4 Ru1--91,157600
31736,Cu3 K3 S7 Th2--63,337492
31781,Cl1 N2 S2--14,55677 233922
32234,Mn2 Na1 O4--62,159285 174022
32293,Cr1 F3 K1--140,125187
32337,Ba1 Eu1 Fe2 O5--51,307173
32552,K3 O4 V1--121,131215
32776,I3 Ti1--59,311144
32920,Mn1 O4 U1--74,337697
33200,Cu2 Dy1 In3--191,337674
33342,Pr1--152,175029
33454,Li1--220,176885
33564,Li1 Mn2 O4--70,337838 337960
33802,Ni1 Ti1--2,337743
34010,Cu1 Pb1 Se3 Yb1--62,46447 160038 165365 165423 170680 176278 265349
34026,Cu1 Pb1 S3 Y1--62,170040
34370,O2 Si1--154,265972 265973
34374,O2 Si1--154,169192
