category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,O2 Si1,93440,63,mp-600111,36122,15,mp-646895,0.00371,0.184,0.818,"(0.145,0.23)",different
diff. SGs,O2 Si1,93383,217,mp-600096,31600,229,mp-556068,0.00275,0.0349,3.55,"(0.166,0.26)",similar
diff. SGs,O2 Si1,93100,65,mp-639558,48185,38,mp-561181,0.00358,0.094,0.139,"(0.0957,0.157)",similar
diff. SGs,Fe2 Mg1 O4,87026,1,mp-34493,50547,8,mp-34569,0.0383,0.608,0.162,"(0.0334,0.0674)",different
diff. SGs,O2 Si1,48026,8,mp-557881,32431,1,mp-557004,0.000877,0.0573,0.381,"(0.0929,0.201)",similar
diff. SGs,O2 Si1,48026,8,mp-557881,48025,12,mp-558351,0.000295,0.0106,0.0529,"(0.059,0.104)",similar
diff. SGs,O2 Si1,4415,20,mp-7648,16489,9,mp-555235,0.00405,0.126,0.127,"(0.15,0.283)",different
diff. SGs,O2 Si1,4415,20,mp-7648,4416,194,mp-7087,0.00424,0.0129,1.15,"(0.185,0.257)",similar
diff. SGs,O2 Si1,4415,20,mp-7648,35277,4,mp-555891,0.000326,0.0098,0.553,"(0.0697,0.112)",similar
diff. SGs,O2 Si1,48012,36,mp-557264,48011,64,mp-559313,0.00368,0.0663,1.24,"(0.159,0.257)",similar
diff. SGs,O2 Si1,24191,181,mp-10851,1800,154,mp-6930,0.00172,0.174,0.667,"(0.142,0.168)",different
diff. SGs,O2 Si1,24191,181,mp-10851,1799,152,mp-7000,0.00206,0.187,0.653,"(0.142,0.168)",different
diff. SGs,O2 Si1,24191,181,mp-10851,4410,180,mp-6922,6.84e-07,0.0007,0.00234,"(0.00195,0.00239)",similar
diff. SGs,Al1 O4 P1,84751,154,mp-3955,3491,152,mp-5331,1.27e-05,0.0002,0.00245,"(0.0281,0.0338)",similar
diff. SGs,Al1 O4 P1,84751,154,mp-3955,41561,181,mp-560151,0.00354,0.132,0.831,"(0.129,0.16)",different
diff. SGs,Al1 O4 P1,3491,152,mp-5331,41561,181,mp-560151,0.00353,0.132,0.834,"(0.157,0.194)",different
diff. SGs,Al1 O4 P1,22112,8,mp-558088,38500,185,mp-560815,0.00433,0.137,0.912,"(0.11,0.257)",different
diff. SGs,Al1 O4 P1,22288,4,mp-5724,22494,186,mp-545974,0.00746,0.344,1.71,"(0.116,0.162)",different
diff. SGs,Cd1 I2,42093,156,mp-583753,85318,-1,mp-571635,0.00023,0.0875,3.3,"(0.0674,0.106)",similar
diff. SGs,Li1 Ni1 O4 P1,174328,4,mp-763217,13488,62,mp-25614,0.00229,0.005,0.0169,"(0.0232,0.0324)",similar
diff. SGs,O2 Si1,86000,191,mp-532105,85956,175,mp-530546,0.000388,0.0032,0.303,"(0.097,0.158)",similar
diff. SGs,Al1 H3 O3,151079,61,mp-626605,150731,14,mp-625739,0.00138,0.084,0.107,"(0.0996,0.249)",similar
diff. SGs,Cd1 I2,39368,156,mp-570263,19861,164,mp-567567,0.000583,0.0274,0.991,"(0.0561,0.118)",similar
diff. SGs,O2 Si1,4414,227,mp-8352,4413,122,mp-546794,0.0121,0.338,1.52,"(0.143,0.175)",different
diff. SGs,Al2 Fe1 O4,85014,8,mp-34782,50571,156,mp-34978,0.0375,0.656,0.0163,"(0.0643,0.175)",different
diff. SGs,C1,151477,12,mp-632329,87419,191,mp-568806,0.104,0.315,1.83,"(0.000943,0.000943)",different
