category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,O2 Si1,96558,180,,110084,-1,,,,,,
diff. SGs,Cd1 I2,85754,-1,mp-570610,42126,156,,,,,,
diff. SGs,Cd1 I2,85661,-1,mp-570448,34278,156,,,,,,
diff. SGs,Fe2 Mg1 O4,154569,1,,54623,8,,,,,,
diff. SGs,O2 Si1,92848,139,,14338,82,mp-554151,,,,,
diff. SGs,Cd1 I2,85512,-1,mp-570552,42112,156,,,,,,
diff. SGs,Cd1 I2,85313,-1,mp-570492,42095,156,,,,,,
diff. SGs,Cd1 I2,85420,-1,mp-571667,34277,156,,,,,,
diff. SGs,O2 Si1,92671,74,mp-600000,85175,15,,,,,,
diff. SGs,O2 Si1,85757,68,mp-556088,48199,16,,,,,,
diff. SGs,O2 Si1,85726,74,mp-555394,48193,44,,,,,,
diff. SGs,O2 Si1,54139,191,,51429,175,,,,,,
diff. SGs,Li4 O29 P8 V3,174389,5,,165262,1,,,,,,
diff. SGs,Li6 O29 P8 V3,161328,1,,174164,9,,,,,,
diff. SGs,O2 Si1,18017,15,mp-11684,41261,14,,,,,,
diff. SGs,Li6 O29 P8 V3,169200,1,,174556,9,mp-773384,,,,,
same SGs,O2 Si1,34372,154,,2333,154,,,,,,
diff. SGs,Al1 O4 P1,102270,185,,95944,193,,,,,,
diff. SGs,Li1 Mn1 O4 P1,155964,5,,174252,1,mp-761549,,,,,
diff. SGs,Al1 O4 P1,73424,185,,72923,193,,,,,,
diff. SGs,Al1 O4 P1,152319,39,mp-675254,51482,7,,,,,,
diff. SGs,Ca1 S3 Sn1,178115,167,,177974,5,,,,,,
diff. SGs,Ca1 S3 Sn1,178115,167,,178076,161,,,,,,
diff. SGs,Ca1 S3 Sn1,178115,167,,178130,46,,,,,,
diff. SGs,Ca1 S3 Sn1,177974,5,,178130,46,,,,,,
diff. SGs,O2 Si1,86000,191,mp-532105,51429,175,,,,,,
diff. SGs,Al1 H3 O3,129996,62,,129995,19,,,,,,
diff. SGs,Al2 O3,174074,12,mp-754812,159017,14,,,,,,
diff. SGs,Al2 O3,126901,15,,1295,167,mp-1143,,,,,
diff. SGs,Fe1 Li1 O7 P2,49047,15,,152173,5,mp-697764,,,,,
diff. SGs,Al2 Fe1 O4,86086,8,,51350,156,mp-706250,,,,,
diff. SGs,F3 Li1 Mn1,174764,38,mp-778819,171995,63,,,,,,
diff. SGs,F3 Li1 Mn1,163346,147,,174217,143,mp-762921,,,,,
diff. SGs,O2 Si1,51213,2,,85088,12,mp-34150,,,,,
diff. SGs,C1,34628,166,,5521,227,mp-66,,,,,
diff. SGs,B3 Li2 Mn3 O9,174781,1,mp-780582,172132,8,,,,,,
same SGs,C1,21037,50,,21034,50,,,,,,
diff. SGs,Cu1 I1,49859,160,,3001,216,mp-22895,,,,,
diff. SGs,Cu1 I1,85519,164,mp-570081,16154,156,,,,,,
