composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
Al1 H1 O2,150483,36,mp-625056,150477,36,mp-625054,1.14e-05,0.0973,0.0562,,
H1 Na1 O1,150493,160,mp-625052,150494,160,mp-625051,0,0,0,,
O2 Si1,24631,60,mp-559741,4040,60,mp-10948,0.000197,0.0576,0.00455,,
Cu1 F3 K1,152123,140,mp-669347,7704,140,mp-3682,0.00413,0.111,0.24,,
O4 Sr1 U1,153816,12,mp-697836,151651,12,mp-634900,0.0816,2.07,0.175,,
Cr1 Cu1 O2,174841,166,mp-795616,3091,166,mp-510625,0.000749,0.0123,0.0206,,
H1 Lu1 O2,150589,4,mp-625367,150588,4,mp-625370,0.00494,0.19,0.016,,
O2 Si1,34374,154,mp-549166,1800,154,mp-6930,0.000938,0.0012,0.254,,
La1 P5,44504,11,mp-1864,35611,11,mp-645421,0.00076,0.0037,0.559,,
Co1 O3 Y1,51666,62,mp-34710,2618,62,mp-24878,0.0057,1.32,0.592,,
O2 Si1,34372,154,,2333,154,,,,,,
C1,21037,50,,21034,50,,,,,,
F4 Li1 V1,174098,59,mp-776513,159999,59,,,,,,
Fe1 H1 O2,88026,63,mp-24992,88025,63,,,,,,
Fe3 O4,3255,227,mp-19306,93537,227,,,,,,
Li1 Ni1 O2,177956,12,,177510,12,,,,,,
Li1 Ni1 O2,151550,191,mp-632864,92896,191,,,,,,
Cu1 Mn2 O4,124788,227,,17676,227,mp-505421,,,,,
Ni1 S2,126845,129,,174886,129,mp-849092,,,,,
Ba1,33468,123,,33466,123,,,,,,
H2,151473,139,mp-632291,93513,139,,,,,,
H2,87801,194,mp-24504,87800,194,,,,,,
Fe1 O7 P2,85489,14,,49516,14,mp-690058,,,,,
Ba2 Cu3 O7 Y1,101417,47,,11501,47,,,,,,
Ta1,30956,225,,11113,225,mp-6986,,,,,
H1 Na1 O1,150482,160,,150480,160,,,,,,
Br6 Li2 U1,86164,143,,53542,143,,,,,,
Ca1 La1 Mn2 O6,55311,31,,35894,31,mp-39689,,,,,
H6 N4 O9,150575,4,,150574,4,,,,,,
Fe1 S1,23405,186,,12802,186,mp-616476,,,,,
O2 Si1,85956,175,mp-530546,51429,175,,,,,,
H2 Ni1 O2,150475,5,,150479,5,,,,,,
H2 Ni1 O2,150475,5,,150481,5,mp-625081,,,,,
H2 Ni1 O2,150479,5,,150481,5,mp-625081,,,,,
H2 O4 U1,150536,42,,150537,42,mp-625281,,,,,
Cr1 Li3 O4,174910,36,,170033,36,,,,,,
La2 O3,84783,150,,32730,150,,,,,,
Co2 O5 Sr2,84995,139,mp-37331,53571,139,,,,,,
H2 Mo1 O4,151069,1,mp-626586,151057,1,,,,,,
Bi1 Mn1 O3,151745,14,mp-643056,85466,14,,,,,,
N1 Pr1,30866,225,,21948,225,mp-343,,,,,
Fe1,30631,229,,3463,229,mp-13,,,,,
As4 Co1 Li2 O20 Ti4,154059,1,mp-744463,56884,1,,,,,,
N1 O2,151491,14,,90638,14,,,,,,
Ga1 Li5 O4,87293,94,mp-37207,53487,94,,,,,,
Co1 K1 O2,86107,129,,39722,129,mp-24842,,,,,
N1 Na3 O2,152232,136,mp-674382,50815,136,,,,,,
Fe1 La1 O3,93669,221,,3444,221,mp-556561,,,,,
Ba1 K2 N6 Ni1 O12,152660,1,mp-690607,55361,1,,,,,,
Ba1 K2 N6 Ni1 O12,89259,202,,8332,202,,,,,,
Co1,93175,227,,93174,227,,,,,,
Bi46 O89 P8,46920,12,,139362,12,,,,,,
Cu1 S4 Ti2,94831,227,,20029,227,mp-3951,,,,,
Ba1 Nb8 O14,152995,14,mp-685446,51771,14,,,,,,
Ca5 H1 O13 P3,87618,173,mp-41472,56738,173,,,,,,
Ag1 Ge1 O3,174794,18,mp-779706,172927,18,,,,,,
Ca1 O6 S1,151605,15,,89273,15,,,,,,
Ba2 Cu1 O6 U1,84792,87,,3100,87,,,,,,
K1 P1,151747,166,,100391,166,,,,,,
Cu4 K1 S3,92663,123,,45781,123,mp-27677,,,,,
F6 Fe2 Li1,93411,136,,86930,136,,,,,,
Al2.04 Ca2 Fe0.24 Mg1.84 Na2 O24 Si7.88,111173,13,,43138,13,,,,,,
Ga1 Pt3,175365,127,,45385,127,mp-623066,,,,,
As4 Cu3,85503,71,,38093,71,,,,,,
P1 Se3 Sn1,50550,14,,28424,14,mp-5706,,,,,
Cl1 Na1 O4,87215,121,mp-38103,54104,121,,,,,,
Al3 Y1,84914,194,mp-11232,25759,194,,,,,,
B1 Fe2,87403,123,mp-568748,3903,123,,,,,,
Ag1 Cu1 O2,112657,12,,84793,12,mp-7237,,,,,
Ag1 Cu1 O2,112657,12,,24168,12,,,,,,
Ag1 Cu1 O2,84793,12,mp-7237,24168,12,,,,,,
Cr1 Cu1 O2,174841,166,mp-795616,174840,166,,,,,,
Cr1 Cu1 O2,174840,166,,3091,166,mp-510625,,,,,
Ag7 N1 O11,92161,225,,4412,225,,,,,,
O7 Pb2 Sb2,86002,46,,37026,46,,,,,,
Cr1 N1,30493,225,,1645,225,mp-2132,,,,,
Ge8 O40 Sb8 Tl8,95658,52,,8921,52,,,,,,
