Ag1 Au1 S2,87128,49,mp-37920,53975,49,,,,,,
Ag1 Ba1 O13 P3,154400,15,,88997,15,,,,,,
Ag1 C1 H3 N3 O4,154679,14,mp-707364,102260,14,,,,,,
Ag1 C1 K1 O3,48307,73,,7758,73,mp-541966,,,,,
Ag1 C1 O2,29027,14,mp-5282,29026,14,mp-636943,0.0549,0.368,1.06,,
Ag1 C2 K1 N2,85347,163,,36461,163,mp-582994,,,,,
Ag1 C3 N7 S3,153480,33,,100829,33,,,,,,
Ag1 C4 F9 O1,32452,2,,6992,2,mp-561205,,,,,
Ag1 Co1 N6 O8,105165,126,,92950,126,,,,,,
Ag1 F3 Li1,164994,14,mp-752837,161141,14,mp-756821,0.0262,0.0224,0.81,,
Ag1 H2 O4 V1,88463,62,,88218,62,mp-25720,,,,,
Ag1 I1,86589,186,mp-580941,41911,186,,,,,,
Ag1 I2 Na1 O3,155452,61,,105884,61,,,,,,
Ag16 Al12 O48 S5 Si12,152775,1,mp-677726,55823,1,,,,,,
Ag2 Al12 Ca5 O48 Si12,152745,1,mp-677550,55688,1,,,,,,
Ag2 As2 O7,154758,14,,97004,14,,,,,,
Ag2 Co1 O17 P4,155712,14,,102161,14,,,,,,
Ag2 K3 O20 P5,154354,2,,104221,2,,,,,,
Ag3 Al10 Na7 O48 Si14,153220,1,mp-690987,56334,1,,,,,,
Ag3 Al10 Na7 O48 Si14,153220,1,mp-690987,57028,1,,,,,,
Ag3 Al10 Na7 O48 Si14,57028,1,,56334,1,,,,,,
Ag3 Al11 Ca4 O48 Si13,153115,1,mp-686702,56288,1,,,,,,
Ag3 As1 S3,85681,161,mp-555843,7455,161,mp-4431,0.0209,0.525,1.76,,
Ag3 As1 S3,9162,161,,7455,161,mp-4431,,,,,
Ag3 I1 N2 O6,85454,19,mp-653562,38763,19,,,,,,
Ag3 N1 O4 S1,153475,14,,100614,14,,,,,,
Ag3 N3 O3 S1,153533,57,,90733,57,,,,,,
Ag4 O14 P2 Te1,153538,14,,90740,14,,,,,,
Ag5 Al11 K6 O48 Si13,153093,6,mp-686585,56162,6,,,,,,
Ag6 Mo10 O33,85286,2,mp-504579,41301,2,mp-699553,0.00595,0.103,0.000565,,
Ag7 I2 S2,54511,1,,53779,1,,,,,,
Ag7 Nb1 S6,152524,1,mp-676348,53831,1,,,,,,
Ag7 Nb1 S6,84975,7,mp-3926,16170,7,,,,,,
Ag7 S6 Ta1,152228,1,mp-674352,50738,1,,,,,,
Ag8 Ge1 Te6,152569,1,mp-676555,54111,1,,,,,,
Ag8 Ge1 Te6,153029,1,mp-685969,53808,1,,,,,,
Ag8 Ge1 Te6,53583,1,,152492,1,mp-676168,,,,,
Ag8 Ge1 Te6,53808,1,,54523,1,mp-676799,,,,,
Ag9 Bi2 O6,85632,63,mp-651048,37710,63,,,,,,
Al1 As1 Cu2 O12,153557,15,,91556,15,,,,,,
Al1 Ba3 F9,38987,30,,85914,30,mp-555438,,,,,
Al1 C11 N2 Sn1,153986,14,,118086,14,,,,,,
Al1 C18 Cl3 H42 N6 O18,86302,9,,58046,9,,,,,,
Al1 C2 H16 N1 O14 S2,117602,14,,117599,14,,,,,,
Al1 C2 H20 N1 O14 S2,117601,7,,117600,7,mp-708992,,,,,
Al1 Ca1 H5,152039,19,mp-654956,86571,19,mp-583071,0.0157,0.0417,0.052,,
Al1 Ca2 H10 I1 O8,152690,1,mp-677248,55342,1,,,,,,
Al1 Cs1 H8 N4,95925,85,,89412,85,mp-634446,,,,,
Al1 F5 Tl2,47606,63,mp-504676,77,63,,,,,,
Al1 F9 O1 Pb3,154067,14,,111591,14,,,,,,
Al1 Fe1 Li2 O4,168185,14,mp-770698,168239,14,mp-770702,0.00891,0.589,0.376,,
Al1 Fe1 O6 Tb2,113952,62,,108059,62,,,,,,
Al1 Fe1 O6 Tb2,81619,62,,75257,62,,,,,,
Al1 Ge1 K1 O4,41551,173,mp-651024,37702,173,,,,,,
Al1 Ge1 Na1 O4,85093,14,mp-14511,37701,14,,,,,,
Al1 H1 O2,150484,1,,151152,1,mp-626902,,,,,
Al1 H1 O2,150484,1,,151154,1,,,,,,
Al1 H1 O2,151154,1,,151152,1,mp-626902,,,,,
Al1 H15 Mn1 O15 P2,154646,2,mp-763195,106348,2,,,,,,
Al1 H2 Li1 O5 Si1,129032,33,mp-604430,152044,33,mp-655057,0.289,1.64,0.538,,
Al1 H2 Li1 O5 Si1,4097,33,,4098,33,,,,,,
Al1 H2 Li1 O5 Si1,4099,33,,4098,33,,,,,,
Al1 H2 Li1 O5 Si1,95907,33,mp-697020,100315,33,mp-699426,0.000976,0.0321,0.121,,
Al1 H2 Li1 O7 Si2,113652,1,,88428,1,mp-24104,,,,,
Al1 H2 Li1 O7 Si2,87495,1,,85212,1,,,,,,
Al1 H2 Na1 O7 Si2,152641,15,mp-676991,55539,15,,,,,,
Al1 H3 O3,150578,1,,150579,1,,,,,,
Al1 H3 O3,150580,1,mp-625318,150578,1,,,,,,
Al1 H3 O3,150580,1,mp-625318,150579,1,,,,,,
